,count
deliveryrate,1
finalpassrate,1
apitime,1
suspiciousscore,1
envtraceaccuracy,1
envtracescore,1
toxicityreduction,1
cleanutility,1
datareduction,1
latencydelta,1
memorydelta,1
conversationalconsistency,1
languagenaturalness,1
responsecompleteness,1
controlleddisclosure,1
caseconsistency,1
querycomprehension,1
ndrdetection,1
operationallatency,1
detectionfootprint,1
humaneffort,1
operatoractions,1
timeobjective,1
detectionsuccess,1
responserichness,1
userneedfulfillment,1
paraphrasesensitivescore,1
consistencyscore,1
semanticequivalence,1
sentimentscore,1
credibilityrating,1
deviationpercent,1
meandeviation,1
youdenj,1
honestyscore,1
safetyscore,1
areachange,1
rlqueries,1
gateoverhead,1
maximumdrawdown,1
keyaccuracy,1
annualizedreturn,1
totalreturn,1
evaluationaccuracy,1
simulationaccuracy,1
pathclearance,1
layoutrationality,1
semanticalignment,1
iaa,1
iqa,1
oob,1
oor,1
editsim,1
oscescore,1
patientdemeanor,1
propensityscore,1
voxeliou,1
voxelrecall,1
mos,1
dontknowproportion,1
hallucinationproportion,1
truthfulproportion,1
regard,1
empathyquotient,1
unigramprecision,1
maximumconcentration,1
averageconcentration,1
calmarratio,1
sharperatio,1
positionutilization,1
volatility,1
cognitivecomplexity,1
constraintviolations,1
fairness,1
eta,1
localizationerror,1
mauve,1
seqrep3,1
densityutilization,1
homogeneity,1
labelfrequency,1
chisquaretest,1
pairedttest,1
simcse,1
sbert,1
bboxiou,1
zeropressurepropensity,1
runnablerate,1
averagereflections,1
permanova,1
effectivereasoning,1
translationaccuracy,1
numericmisperception,1
semantichallucination,1
lpips,1
tokenreward,1
top3,1
accuracy1,1
p10,1
p3,1
scenariolength,1
reachabilitycoverage,1
databasecoverage,1
carbonemissions,1
conservativefactor,1
stddeviation,1
meaniterations,1
learningimpact,1
gasconsumption,1
plausiblecontracts,1
correctcalls,1
avgnodesexpanded,1
costperquery,1
lmarenaelo,1
competencyscore,1
abandonmentrate,1
resilience,1
toolnamingsensitivity,1
recoveryrate,1
harmfulnessrate,1
harmfulnessscore,1
jointefficiency,1
costefficiency,1
normalizedscore,1
readabilitycompliance,1
layouterror,1
epsilonsquared,1
weightedhalfscore,1
halfscore,1
vocabularysize,1
developerratings,1
faultcount,1
classdiversity,1
scenariocount,1
electricitycost,1
drc,1
cecd,1
verification,1
subgoalsetting,1
backwardchaining,1
backtracking,1
relativeerror,1
validationaccuracy,1
studentusage,1
debuggingusefulness,1
helpfulnessrating,1
feedbackcorrectness,1
questioncorrectness,1
normalizedthroughput,1
vramcost,1
paireddifference,1
utility,1
trustscale,1
nars,1
umuxlite,1
disclosurecount,1
testpassrate,1
cfrpscore,1
cosmicfunctionpoints,1
editcount,1
thetaratio,1
expansions,1
atgr,1
wr,1
cr,1
fta,1
hallucination,1
decisionfliprate,1
verify,1
flexible,1
exact,1
embeddingdistance,1
unique500,1
eotps,1
otps,1
actionentropy,1
edgeoverlap,1
frobenius,1
sse,1
emotionaccuracy,1
causalinfluence,1
tokenprobability,1
feasibility,1
iops,1
qps,1
levenetest,1
kolmogorovsmirnov,1
srmr,1
rmsea,1
tli,1
cfi,1
itl,1
setsize,1
passn,1
avgn,1
informativenessscore,1
nlidiversity,1
cpuusage,1
featureagreement,1
average,1
cognition,1
perception,1
harda,1
easya,1
qacc,1
facc,1
offlinethroughput,1
sloviolation,1
interpretabilityrating,1
itps,1
referencesimilarity,1
titlesimilarity,1
contentsimilarity,1
plansimilarity,1
d4rlscore,1
chair,1
promptsensitivity,1
jumpsimilarity,1
treesimilarity,1
overthinkingrate,1
jumpdistance,1
solutioncount,1
pass3,1
gsm8kaccuracy,1
mtbench,1
balancedstylescore,1
avglength,1
creativity,1
edp,1
pdp,1
total,1
nmse,1
ndcgk,1
userrating,1
batchcorrection,1
primalerror,1
costreduction,1
assignmentcost,1
investmentcost,1
coveragesuccessindex,1
duplicaterate,1
breadthdepth,1
countscore,1
sh,1
ratescore,1
radgraph,1
chexbert,1
wallclock,1
asrreduction,1
expertrating,1
dualerror,1
mmluscore,1
fbetascore,1
costsavings,1
rentpayment,1
qoe,1
transcriptionquality,1
materialaccuracy,1
segmentaccuracy,1
biaspreferenceratio,1
fractioncorrect,1
undercountratio,1
symbolicaccuracy,1
timepershot,1
stdtime,1
meantime,1
semanticsuccess,1
averagedistance,1
minimumdistance,1
descriptionscore,1
classificationscore,1
highqualityhit,1
setscore,1
boundtightness,1
subvocabsize,1
meanaccuracy,1
insightrecall,1
sts,1
fuzzymatch,1
energytoken,1
bandwidthefficiency,1
tvdistance,1
bestspeedup,1
fast1,1
averagespeedup,1
yesbias,1
readingexperience,1
expectedattempts,1
success3,1
overrefusal,1
ana,1
asrlr,1
asrl,1
distancegoal,1
bestreward,1
fingerprintdistance,1
llmcost,1
compilationerror,1
unsupportedadditions,1
missinginformation,1
numericalfidelity,1
map5,1
percategoryaccuracy,1
dailyvolatility,1
turnoverratio,1
pegdeviation,1
proofsuccess,1
duplicateindex,1
violationrate,1
fallbackrate,1
multigpuspeedup,1
testableaccuracy,1
evidencesimilarity,1
exceptionssimilarity,1
conditionssimilarity,1
requirementssimilarity,1
actorsimilarity,1
slotsimilarity,1
spanauprc,1
costpersolve,1
costperquestion,1
solverate,1
fix1,1
functionsperfile,1
documentationdensity,1
defensiveratio,1
asrr,1
averagetoxicityscore,1
reasoninglength,1
decodingthroughput,1
adjustedrand,1
absolutedifference,1
evaluationscore,1
marketprice,1
tradingvolume,1
marketcapitalization,1
supplygap,1
correctionrate,1
osas,1
halsteadeffort,1
falserate,1
turnindex,1
echoingrate,1
consensusscore,1
clinicianacceptability,1
dramutilization,1
predictionerror,1
decodelatency,1
celldensity,1
supportiveness,1
factualcorrectness,1
guidelineadherence,1
academicfpr,1
engineutilization,1
trafficefficiency,1
effectsize,1
compromiserate,1
scoreaverage,1
attentionentropy,1
prefillenergy,1
relatabilityrating,1
iqr,1
median,1
mean,1
shapirowilk,1
cronbachalpha,1
logdetvariance,1
triratiovariance,1
l2variance,1
cosinevariance,1
levenshteinsimilarity,1
bertsimilarity,1
tfidfsimilarity,1
vds,1
mofcount,1
entitycoverage,1
systemhealth,1
rank1,1
llmjudgescore,1
roleplayscore,1
aer,1
mi,1
rankicir,1
rankic,1
icir,1
ic,1
sampleefficiency,1
ap05,1
ap03,1
mviou,1
mtiou,1
xparacon,1
hit10,1
csierrorrate,1
csicount,1
misrepresentationspersentence,1
misrepresentationsperstory,1
volume,1
vqatext,1
gqa,1
mmb,1
mme,1
pope,1
textvqa,1
sqa,1
vqav2,1
runningtime,1
triageskew,1
excessbins,1
kissingnumber,1
overusage,1
inequality,1
gain,1
survivalrate,1
survivaltime,1
similarity,1
characters,1
compilability,1
correctk,1
kvcache,1
gpuenergy,1
totalenergy,1
decodeenergy,1
geocodingcoverage,1
jaccardindex,1
bina,1
ainb,1
epacc,1
overlap,1
parameters,1
mivariance,1
quantizationloss,1
mrr5,1
checkpointaccuracy,1
interrateragreement,1
saferate,1
averageeffectivesteps,1
averagetotalsteps,1
reasoningedgeaccuracy,1
mutualalignment,1
equalerrorrate,1
falserejectionrate,1
falseacceptancerate,1
sumradii,1
trianglearea,1
loadbalanceratio,1
llmqueries,1
geomeanspeedup,1
conditionalcorrectness,1
abstentionrecall,1
abstentionprecision,1
abstentionrate,1
reliableaccuracy,1
correctresponserate,1
jensenshannon,1
escalationrate,1
restraint,1
harmnnh,1
caseharm,1
harmfulerrors,1
reliabilityscore,1
recall09,1
recall07,1
averagerisk,1
returnrate,1
totalvariance,1
portfoliovalue,1
fitnessscore,1
triageshift,1
meandisadvantage,1
queryvolume,1
requirementsmet,1
matchpeak,1
peakvocab,1
peakdepth,1
debiasingtime,1
tokensavings,1
changeaccuracy,1
validratio,1
averagesentencingerror,1
companyprofit,1
totallosses,1
totalwins,1
rtlreconstructionscore,1
gptrtlscore,1
sentencebertcosine,1
aggscore,1
averagetaskscore,1
uar,1
gvaluescore,1
dcg5,1
dcg2,1
p4,1
meaningfulscore,1
resultaccuracy,1
dsmaccuracy,1
diversityscore,1
apiexactmatch,1
weightbits,1
avgqa,1
reflectiveresponses,1
escalationfrequency,1
reflectionquality,1
dealsuccess,1
effectiveness,1
reasonableness,1
persuasion,1
motivation,1
hint,1
timespeedup,1
accuracystd,1
fr,1
ckld,1
rstd,1
pbm,1
stylometricdetectability,1
reasoninginflationratio,1
triggeredaccuracychange,1
benignaccuracydrop,1
branchcoveragepassed,1
linecoveragepassed,1
executionpass,1
compilepass,1
inferencesteps,1
solvablewinrate,1
msu,1
detectiondelay,1
fairscore,1
mcrs,1
textchars,1
averagetime,1
averagecost,1
allpass,1
tasksolve,1
lostevidence,1
totalrange,1
buyerrange,1
sellerrange,1
shapvalue,1
transactionprice,1
saleprice,1
uniquesolves,1
comforting,1
suggestion,1
saletolist,1
averageturns,1
rulecoverage,1
averagedebugiterations,1
averagetokens,1
coderunnablerate,1
avgtestcases,1
userreadability,1
usercorrectness,1
dependencyimpact,1
hsbrscore,1
wilsoninterval,1
trainingtokens,1
parsingtime,1
solvablepassrate,1
dagexactmatch,1
apicallefficiency,1
ueq,1
swat,1
sagat,1
riskaccuracy,1
segmentationaccuracy,1
weightedmcc,1
math,1
humaneval,1
mmlu,1
gradientnorm,1
intelligenceindex,1
costtorun,1
omniscienceindex,1
hopsaccuracy,1
multihopaccuracy,1
compilationfails,1
clockhours,1
costperbug,1
badpatch,1
confidence,1
top5hit,1
usermaintainability,1
continuousintegration,1
communityquality,1
payloadconcealment,1
attributeaccuracy,1
categoryrelevance,1
componentaccuracy,1
summaryaccuracy,1
timetoleak,1
calibration,1
weightedkappa,1
preemptioncount,1
kvcacheusage,1
acceptancelength,1
rolloutthroughput,1
misalignmentrate,1
gpqa,1
fleschkincaid,1
ttlt,1
psc,1
arithmeticintensity,1
l2hitrate,1
dramthroughput,1
llmlatency,1
vitlatency,1
acceleratormemory,1
firsttokenlatency,1
loadtime,1
cachearea,1
mshrutilization,1
stallcycles,1
mshrhitrate,1
drambandwidth,1
stayedrole,1
authenticity,1
ccsr,1
blri,1
harmlessness,1
wai,1
utilitypreservation,1
judgematch,1
approximatematch,1
biasdifference,1
fliprate,1
overthinkingscore,1
validcontext,1
vaguenessfraction,1
obfuscatingfraction,1
obfuscatingcount,1
rps,1
p95ttft,1
informationgain,1
overallquality,1
systemperformance,1
consensusquality,1
elostability,1
primingdelta,1
meanrelevance,1
adequacy,1
mqm,1
goalcompletionrate,1
filesizeoverhead,1
inferencequality,1
confidenceshift,1
followrate,1
derivationcapabilityscore,1
recommendnovices,1
trainingpartner,1
challengedcounselor,1
typicalcase,1
endtoendaccuracy,1
responsebasedevaluation,1
statebasedevaluation,1
astevaluation,1
liveaccuracy,1
nonliveaccuracy,1
multiturnaccuracy,1
singleturnaccuracy,1
wassersteindistance,1
memoryfootprint,1
gpucount,1
spatialrelevance,1
goalachievement,1
topiccoverage,1
answerrate,1
numericalaccuracy,1
unsolvableaccuracy,1
combinedscore,1
confusionratio,1
shannonentropy,1
gptconfidence,1
confidencecorrelation,1
nodeexpansions,1
planvalidity,1
honesty,1
speakerconsistency,1
bugsdetected,1
schemadistance,1
likertrating,1
copycount,1
entitycount,1
ontologyentailment,1
semanticmatch,1
matchscore,1
hitk,1
groundedness,1
sacrebleu,1
byteperplexity,1
wordperplexity,1
objectivity,1
ambience,1
actionevents,1
processaccuracy,1
